Date,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
1999-01-01,0.0386643568999121,-0.037063236090738805,-0.06559572939538316,0.017333051564179858,-0.01081424107652873,0.1590039750050951,-0.013233118948488887,-0.02480647191565155,0.048077499364569176,0.05143595638108778
1999-02-01,-0.0320685705450281,0.01554346250234695,-0.00859601572064772,0.015727146991981522,0.009003551120714048,-0.09917364895855041,-0.010495757636732606,-0.027556380682080883,0.001146718625365084,-0.006257154218507144
1999-03-01,0.0389484353599443,0.014577342149957095,0.13728289983127695,0.029677382430200128,0.017208286896191582,0.07431208483985974,-0.0029462199853796944,-0.0692097364461296,0.02634577810993033,0.047510076362730524
1999-04-01,0.04049169635855665,0.25132103671815265,0.15215739504241088,0.07301642368002503,0.15466876927043205,0.0059775699284903006,-0.033165869536808,0.10381758059220547,0.0357143364924819,0.027343795989968944
1999-05-01,-0.022865421489167814,-0.09101378187363407,-0.021582349364165143,-0.060304269942968,-0.019608178369861173,0.003395835648517531,-0.01040961204842783,0.0117455056552771,-0.030711141808688724,-0.04526110668135319
1999-06-01,0.052201751168542865,0.05449916820861378,0.015271177624519572,0.04049829086947776,0.06000071935075324,0.09602332413956005,0.013614123970502101,0.03482810553362414,0.04391297262142402,0.06302315585756824
1999-07-01,-0.028096374351132547,-0.008334772563274973,0.024102913297598283,-0.058471932561967144,-0.03546008135567702,-0.011578222919523706,-0.03339863083162509,0.009213537837543306,-0.02981868925217801,-0.07325587505803288
1999-08-01,-0.005178958423670554,-0.04498516592219326,0.010935127932838906,-0.04400524218422186,0.008161650593385694,0.03514212190860366,0.017121089550394153,-0.04778876060185688,-0.04500542970588495,-0.03854864529480351
1999-09-01,-0.02508333640711302,-0.03437229272278963,-0.050297417098322694,-0.05537018860858989,-0.007015969628869745,-0.004148770848356298,-0.0922690748009779,0.01761871430639017,-0.013793094792436289,-0.01591987121309757
1999-10-01,0.0670745508685926,0.02692329085546996,-0.010338776287686313,0.15923175071782425,-0.019908020498386247,0.030302885311761063,0.09382040613319775,0.01296501819006246,0.05069921541094957,0.09023022271593795
1999-11-01,0.01665151115673913,-0.014166121716759572,-0.0017339522220543024,-0.04401048124560902,-0.02222258197560234,0.09816113243290281,0.003146047654445594,-0.03288067055712407,0.011647399514897794,0.000550167458071904
